end_date_year_month,start_date_year_month,start_date_year_quarter,end_date_year_quarter,start_date_quarter,start_date_year,id,start_date,start_date_month,end_date,end_date_month,end_date_quarter,end_date_year,service_division_owner,service_result,ward_id,estimated_cost,Ward Name,Latitude,Longitude
2001 Jul,2001 Mar,2001 Q1,2001 Q3,Q1,2001,6576,2001-03-21,March,2001-07-29,July,Q3,2001,"Parks, Forestry & Recreation",PASS,16,44000,Don Valley East,43.75,-79.34
2001 Jun,2001 Mar,2001 Q1,2001 Q2,Q1,2001,16449,2001-03-21,March,2001-06-24,June,Q2,2001,Solid Waste Management,FAIL,1,21000,Etobicoke North,43.733,-79.565
2001 Apr,2001 Mar,2001 Q1,2001 Q2,Q1,2001,19218,2001-03-21,March,2001-04-26,April,Q2,2001,Toronto Water,PASS,15,14000,Don Valley West,43.72,-79.36
2001 Apr,2001 Mar,2001 Q1,2001 Q2,Q1,2001,6416,2001-03-24,March,2001-04-30,April,Q2,2001,Municipal Licensing & Standards,FAIL,5,30000,York South–Weston,43.7,-79.49
2001 Jun,2001 Mar,2001 Q1,2001 Q2,Q1,2001,9100,2001-03-24,March,2001-06-24,June,Q2,2001,"Parks, Forestry & Recreation",PASS,2,252000,Etobicoke Centre,43.67,-79.55
2001 Aug,2001 Mar,2001 Q1,2001 Q3,Q1,2001,18445,2001-03-24,March,2001-08-04,August,Q3,2001,"Parks, Forestry & Recreation",PASS,4,89000,Parkdale–High Park,43.65,-79.46
2001 May,2001 Mar,2001 Q1,2001 Q2,Q1,2001,1788,2001-03-25,March,2001-05-25,May,Q2,2001,Toronto Water,PASS,11,30000,University–Rosedale,43.67,-79.4
2001 Jul,2001 Mar,2001 Q1,2001 Q3,Q1,2001,2387,2001-03-25,March,2001-07-03,July,Q3,2001,"Parks, Forestry & Recreation",PASS,12,43000,Toronto–St. Paul's,43.69,-79.41
2001 Jun,2001 Mar,2001 Q1,2001 Q2,Q1,2001,6936,2001-03-25,March,2001-06-05,June,Q2,2001,Solid Waste Management,PASS,24,23000,Scarborough–Guildwood,43.74,-79.22
2001 Jun,2001 Mar,2001 Q1,2001 Q2,Q1,2001,14990,2001-03-25,March,2001-06-16,June,Q2,2001,Municipal Licensing & Standards,PASS,24,165000,Scarborough–Guildwood,43.74,-79.22
2001 Jun,2001 Mar,2001 Q1,2001 Q2,Q1,2001,15799,2001-03-25,March,2001-06-05,June,Q2,2001,Transportation Services,PASS,24,36000,Scarborough–Guildwood,43.74,-79.22
2001 Jun,2001 Mar,2001 Q1,2001 Q2,Q1,2001,14101,2001-03-26,March,2001-06-06,June,Q2,2001,Toronto Water,PASS,15,237000,Don Valley West,43.72,-79.36
2001 May,2001 Mar,2001 Q1,2001 Q2,Q1,2001,14556,2001-03-27,March,2001-05-20,May,Q2,2001,Municipal Licensing & Standards,PASS,8,96000,Eglinton–Lawrence,43.72,-79.43
2001 Mar,2001 Mar,2001 Q1,2001 Q1,Q1,2001,16446,2001-03-27,March,2001-03-29,March,Q1,2001,Toronto Water,PASS,6,93000,York Centre,43.75,-79.45
2001 Apr,2001 Mar,2001 Q1,2001 Q2,Q1,2001,3659,2001-03-28,March,2001-04-07,April,Q2,2001,Municipal Licensing & Standards,FAIL,13,75000,Toronto Centre,43.66,-79.37
2001 Jun,2001 Mar,2001 Q1,2001 Q2,Q1,2001,4052,2001-03-29,March,2001-06-19,June,Q2,2001,Toronto Water,PASS,21,84000,Scarborough Centre,43.76,-79.25
2001 Apr,2001 Mar,2001 Q1,2001 Q2,Q1,2001,145,2001-03-30,March,2001-04-04,April,Q2,2001,Solid Waste Management,PASS,12,26000,Toronto–St. Paul's,43.69,-79.41
2001 Jun,2001 Mar,2001 Q1,2001 Q2,Q1,2001,3916,2001-03-30,March,2001-06-02,June,Q2,2001,Transportation Services,PASS,10,199500,Spadina–Fort York,43.64,-79.39
2001 Apr,2001 Mar,2001 Q1,2001 Q2,Q1,2001,5429,2001-03-30,March,2001-04-16,April,Q2,2001,Municipal Licensing & Standards,PASS,15,100000,Don Valley West,43.72,-79.36
2001 Sep,2001 Mar,2001 Q1,2001 Q3,Q1,2001,16364,2001-03-31,March,2001-09-05,September,Q3,2001,"Parks, Forestry & Recreation",PASS,4,153000,Parkdale–High Park,43.65,-79.46
2001 Jun,2001 Mar,2001 Q1,2001 Q2,Q1,2001,17355,2001-03-31,March,2001-06-03,June,Q2,2001,"Parks, Forestry & Recreation",PASS,4,93000,Parkdale–High Park,43.65,-79.46
2001 Jun,2001 Mar,2001 Q1,2001 Q2,Q1,2001,19545,2001-03-31,March,2001-06-19,June,Q2,2001,"Parks, Forestry & Recreation",FAIL,9,261000,Davenport,43.67,-79.44
2001 Jul,2001 Apr,2001 Q2,2001 Q3,Q2,2001,8081,2001-04-01,April,2001-07-03,July,Q3,2001,Municipal Licensing & Standards,PASS,9,68000,Davenport,43.67,-79.44
2001 Jul,2001 Apr,2001 Q2,2001 Q3,Q2,2001,11180,2001-04-01,April,2001-07-29,July,Q3,2001,Transportation Services,PASS,14,64000,Toronto–Danforth,43.68,-79.34
2001 Jun,2001 Apr,2001 Q2,2001 Q2,Q2,2001,15640,2001-04-01,April,2001-06-18,June,Q2,2001,"Parks, Forestry & Recreation",PASS,4,176000,Parkdale–High Park,43.65,-79.46
2001 May,2001 Apr,2001 Q2,2001 Q2,Q2,2001,18753,2001-04-01,April,2001-05-31,May,Q2,2001,Transportation Services,PASS,5,55000,York South–Weston,43.7,-79.49
2001 Aug,2001 Apr,2001 Q2,2001 Q3,Q2,2001,1067,2001-04-02,April,2001-08-30,August,Q3,2001,"Parks, Forestry & Recreation",PASS,4,46000,Parkdale–High Park,43.65,-79.46
2001 Jun,2001 Apr,2001 Q2,2001 Q2,Q2,2001,5473,2001-04-02,April,2001-06-16,June,Q2,2001,Municipal Licensing & Standards,FAIL,14,150000,Toronto–Danforth,43.68,-79.34
2001 Jul,2001 Apr,2001 Q2,2001 Q3,Q2,2001,6506,2001-04-03,April,2001-07-27,July,Q3,2001,Municipal Licensing & Standards,PASS,17,48000,Don Valley North,43.78,-79.35
2001 May,2001 Apr,2001 Q2,2001 Q2,Q2,2001,13709,2001-04-03,April,2001-05-04,May,Q2,2001,Solid Waste Management,FAIL,18,182000,Willowdale,43.77,-79.41
2001 May,2001 Apr,2001 Q2,2001 Q2,Q2,2001,14145,2001-04-04,April,2001-05-12,May,Q2,2001,Transportation Services,PASS,3,99000,Etobicoke–Lakeshore,43.62,-79.51
2001 Jul,2001 Apr,2001 Q2,2001 Q3,Q2,2001,14805,2001-04-04,April,2001-07-11,July,Q3,2001,Municipal Licensing & Standards,PASS,13,20000,Toronto Centre,43.66,-79.37
2001 May,2001 Apr,2001 Q2,2001 Q2,Q2,2001,2763,2001-04-05,April,2001-05-30,May,Q2,2001,Solid Waste Management,FAIL,19,153000,Beaches–East York,43.68,-79.3
